127.0.0.1 - - [04/Jan/2022:14:10:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:10:20 +0530] "GET /HTMLWebsite/Im_Exception.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:10:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:11 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:18 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:18 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:19 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:19 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:19 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:19 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:20 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:20 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:20 +0530] "GET /HTMLWebsite/ImplicitObject1.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:59 +0530] "GET /HTMLWebsite/PageContextIndex.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:12:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:13:25 +0530] "GET /HTMLWebsite/welcome_pagecontext.jsp?uname=K+arunakar HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:13:30 +0530] "GET /HTMLWebsite/pagecontext2.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:14:44 +0530] "GET /HTMLWebsite/section.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:19:49 +0530] "GET /HTMLWebsite/pagecontext2.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:19:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:23:06 +0530] "GET /JSPByKarunakar/Index.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [04/Jan/2022:14:23:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:05:57 +0530] "GET /LearnJSP/JSPDirective1.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:05:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:06:13 +0530] "GET /LearnJSP/JSPDirective1.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:09:58 +0530] "GET /LearnJSP/JSPDirective1.jsp HTTP/1.1" 500 2530
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:10:36 +0530] "GET /LearnJSP/JSPDirective2.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:10:50 +0530] "GET /LearnJSP/JSPDirective2.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:11:47 +0530] "GET /LearnJSP/JSPDirective2.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jan/2022:15:13:25 +0530] "GET /LearnJSP/JSPDirective2.jsp HTTP/1.1" 200 172
