127.0.0.1 - - [24/Dec/2021:14:19:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:19:20 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:19:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:23:38 +0530] "GET /LearnJSP/InputNumber.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:23:51 +0530] "GET /LearnJSP/FirstJSPProgram.jsp?num1=23&num2=45 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:23:58 +0530] "GET /LearnJSP/FirstJSPProgram.jsp?num1=233&num2=45 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:24:00 +0530] "GET /LearnJSP/FirstJSPProgram.jsp?num1=233&num2=45 HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:25:35 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 3393
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:25:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:26:08 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 3372
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:26:09 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:26:09 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:15 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 2142
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:16 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:17 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:17 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:17 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:18 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:18 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:18 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:18 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:18 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:19 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:28:27 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 2142
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:23 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 2127
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:23 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:24 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:24 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:24 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:25 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:25 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:29:35 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 500 2127
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:30:03 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:30:04 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [24/Dec/2021:14:30:16 +0530] "GET /JSPByKarunakar/JSPTagsDemo.jsp HTTP/1.1" 200 175
