127.0.0.1 - - [21/Jan/2022:15:10:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:10:49 +0530] "GET /LearnJSTL/JSTLWithDatabase.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:10:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:17:53 +0530] "GET /LearnJSTL/JSTLWithDatabase.jsp HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:19:16 +0530] "GET /LearnJSTL/JSTLWithDatabase.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:19:42 +0530] "GET /LearnJSTL/JSTLWithDatabase.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:22:05 +0530] "GET /LearnJSTL/JSTLWithDatabase2.jsp HTTP/1.1" 500 3998
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:22:29 +0530] "GET /LearnJSTL/JSTLWithDatabase2.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:22:36 +0530] "GET /LearnJSTL/JSTLWithDatabase.jsp HTTP/1.1" 200 693
